,img_id,date,cloud_cover,vegetation_percentage,no_vegetation_percentage,water_percentage
102,102,2021-11-17,92.334387,1.039884,0.023027,0.3662
103,103,2021-11-17,95.999277,0.034369,0.002266,2.887369
104,104,2021-11-22,14.976779,56.474537,0.810156,18.862267
105,105,2021-11-22,8.78949,6.550024,0.49117,82.754242
106,106,2021-11-27,28.385031,42.460033,0.822213,17.037117
107,107,2021-11-27,18.903305,2.76299,0.113812,76.670152
108,108,2021-12-02,74.750572,2.814605,0.071642,2.95767
109,109,2021-12-02,69.664671,1.193231,0.024751,27.219018
110,110,2021-12-07,11.818803,60.576087,1.698862,18.213034
111,111,2021-12-07,3.761743,7.218622,0.508492,87.260234
112,112,2021-12-12,16.379312,53.47169,1.06315,17.731777
113,113,2021-12-12,6.641813,6.146078,0.333317,85.262144
114,114,2021-12-17,23.84756,46.7958,1.728306,17.055093
115,115,2021-12-17,17.471243,5.808013,0.76668,74.481839
116,116,2021-12-22,9.332957,75.897861,0.552241,11.323981
117,117,2021-12-22,3.461899,8.342812,0.672068,86.620861
118,118,2021-12-27,33.280068,38.039252,1.931268,15.533954
119,119,2021-12-27,31.949894,4.708856,0.502828,61.129689
120,120,2022-01-01,6.922552,68.116999,1.681579,17.773898
121,121,2022-01-01,2.574142,8.25487,0.933215,87.411112
122,122,2022-01-06,26.35252,44.921902,1.460961,17.223921
123,123,2022-01-06,5.926268,6.484988,0.529763,85.744083
124,124,2022-01-11,44.450725,40.983084,2.297666,2.041412
125,125,2022-01-11,39.825923,4.247995,0.413718,54.022193
126,126,2022-01-16,90.660824,2.783763,0.012781,0.920208
127,127,2022-01-16,91.857482,0.667168,0.008653,6.985912
128,128,2022-01-21,21.340105,48.657098,1.668053,18.191294
129,129,2022-01-21,37.920744,5.530781,0.615808,54.178727
130,130,2022-01-26,39.277121,38.711715,1.127613,14.262061
131,131,2022-01-26,13.657886,4.054274,0.559038,81.053823
132,132,2022-01-31,32.787547,31.149688,0.725152,16.608417
133,133,2022-01-31,24.500827,4.300356,0.266084,70.091581
134,134,2022-02-05,43.788627,40.926117,2.205679,7.477156
135,135,2022-02-05,58.620805,5.641931,1.157048,33.869219
136,136,2022-02-10,53.835958,26.741731,0.650713,13.916293
137,137,2022-02-10,37.802687,0.044227,0.004585,58.203971
138,138,2022-02-15,96.763533,0.23610100000000003,0.029176,1.555985
139,139,2022-02-15,87.89832,0.000113,0.001938,12.002312
140,140,2022-02-20,30.680603,42.630893,1.009093,10.833828
141,141,2022-02-20,13.737127,6.222882,0.846991,78.657794
142,142,2022-02-25,32.324269,32.636821,0.749871,18.427956
143,143,2022-02-25,10.057492,4.873016,0.883312,83.712262
144,144,2022-03-02,20.619392,46.319196,1.7116069999999999,17.487775
145,145,2022-03-02,26.358947,5.85565,0.971471,66.023129
146,146,2022-03-07,59.991521,21.1915,0.538817,9.634206
147,147,2022-03-07,20.135,3.846647,0.304779,75.179154
148,148,2022-03-12,43.557489,28.465864,1.85309,13.728616
149,149,2022-03-12,14.671578,4.493814,0.584577,79.687911
150,150,2022-03-17,32.619253,35.710847,1.221857,16.789556
151,151,2022-03-17,7.659863,6.74615,0.90357,84.196717
152,152,2022-03-22,30.39411,40.908858,1.358645,15.532336
153,153,2022-03-22,21.328709,5.770008,0.723256,71.391016
154,154,2022-03-27,11.202637,62.65391699999999,1.797482,17.624199
155,155,2022-03-27,2.284996,8.144197,1.440393,87.868619
156,156,2022-04-01,43.964642,29.674929,1.703728,15.302643
157,157,2022-04-01,9.393201,5.919404,1.028497,83.298171
158,158,2022-04-06,25.676534,43.46638,3.375051,18.959853
159,159,2022-04-06,8.368937,6.317358,1.129847,83.844143
160,160,2022-04-11,12.044845,60.75778,2.60196,18.145689
161,161,2022-04-11,14.777356,4.715615,0.839261,78.63791
162,162,2022-04-16,17.339082,51.668209,3.578151,18.554038
163,163,2022-04-16,1.711441,7.792976,1.56386,88.652843
164,164,2022-04-21,52.840674,29.423726000000002,2.120676,7.411671
165,165,2022-04-21,59.705299,5.571571,1.0322,33.460924
166,166,2022-04-26,69.635987,15.189105,1.8125730000000002,8.621714
167,167,2022-04-26,37.839034,4.130292,0.944977,56.629139
168,168,2022-05-01,30.903116,39.099002,2.681636,18.136863
169,169,2022-05-01,11.289299,5.282262,1.123278,81.899661
170,170,2022-05-06,35.783443,38.09334,2.440299,15.976779
171,171,2022-05-06,18.491027,4.766809,0.920647,75.249439
172,172,2022-05-11,53.374523,23.500064,3.104025,13.860737
173,173,2022-05-11,27.162871,1.359136,0.603943,68.640488
174,174,2022-05-16,39.666036,34.954184,3.8717020000000004,17.900065
175,175,2022-05-16,9.851608,3.850539,1.286967,84.921795
176,176,2022-05-21,77.54941,10.707237,2.306371,4.123581
177,177,2022-05-21,44.444093,0.08987,0.172995,53.681278
178,178,2022-05-26,86.935556,10.026727,1.007855,0.028928000000000002
179,179,2022-05-26,70.207578,0.489186,0.073951,28.185442
180,180,2022-05-31,99.450463,0.085536,0.028407,0.0
181,181,2022-05-31,100.0,0.0,0.0,0.0
182,182,2022-06-05,67.932636,9.420966,1.895016,15.936206
183,183,2022-06-05,83.284593,0.439007,0.068629,14.922944
184,184,2022-06-10,32.150441,40.485889,2.638699,17.109847
185,185,2022-06-10,8.615038,4.801975,0.888033,85.147351
186,186,2022-06-15,47.952133,28.089802999999996,1.842779,14.527702
187,187,2022-06-15,21.117289,3.84869,0.645655,73.996913
188,188,2022-06-20,84.719324,6.393425,0.75747,5.396442
189,189,2022-06-20,61.462224,0.12003899999999999,0.069841,36.91085
190,190,2022-06-25,46.167904,28.203823999999997,1.262352,18.140402
191,191,2022-06-25,25.437891,4.634607,0.789931,69.032729
192,192,2022-06-30,46.259826,29.595688,0.931684,13.65903
193,193,2022-06-30,10.514102,4.237985,0.839241,84.14399
194,194,2022-07-05,62.695438,14.46283,1.157066,17.306606
195,195,2022-07-05,45.736262,4.216207,0.589922,48.964411
196,196,2022-07-10,27.548182,43.001214,1.418922,17.976846
197,197,2022-07-10,7.952556,6.785114,1.294913,83.755708
198,198,2022-07-15,34.659898,35.186481,1.7341430000000002,18.466084
199,199,2022-07-15,14.393552,5.424352,1.025003,78.798997
200,200,2022-07-20,41.776499,28.878775,1.767394,18.071923
201,201,2022-07-20,14.355649,5.443864,1.030581,78.581291
202,202,2022-07-25,36.280268,37.725049,1.863325,15.644002
203,203,2022-07-25,25.851625,7.362328,1.368171,65.171129
204,204,2022-07-30,99.969232,0.0,0.0,0.022014
205,205,2022-07-30,88.508266,7e-06,0.000594,11.487477
206,206,2022-08-04,47.950423,31.769904,1.093305,11.243817
207,207,2022-08-04,52.209467,4.733359,0.694984,41.922137
208,208,2022-08-09,14.970137,64.575666,2.121544,16.502787
209,209,2022-08-09,28.194135,7.874933999999999,1.415307,62.48108100000001
210,210,2022-08-14,30.169967,41.454312,1.387659,17.61079
211,211,2022-08-14,5.765738,6.251433,1.071161,86.758083
212,212,2022-08-19,33.42751,38.26828,1.630354,17.486659
213,213,2022-08-19,46.621284,1.431515,0.234492,49.056008
214,214,2022-08-24,39.923999,32.371157,1.150251,16.409209
215,215,2022-08-24,19.221851,6.178915,0.9557870000000002,73.254228
216,216,2022-08-29,44.281945,32.889381,1.481082,12.71883
217,217,2022-08-29,18.141386,6.404611,0.843378,74.390662
218,218,2022-09-03,51.898688,29.296848,0.826349,8.940349
219,219,2022-09-03,32.743895,4.264521,0.53896,62.301517
220,220,2022-09-08,53.967321,26.246861,0.69399,10.868438
221,221,2022-09-08,26.328185,4.891879,0.55133,67.887038
222,222,2022-09-13,39.352152,35.795659,0.889223,14.288652
223,223,2022-09-13,26.356119,5.886915,0.819785,66.666412
224,224,2022-09-18,32.03342,35.353571,1.018672,18.929678
225,225,2022-09-18,11.947248,5.052815,0.61032,81.861347
226,226,2022-09-23,24.105227,42.634004,1.088268,18.417549
227,227,2022-09-23,8.68981,7.315573,1.145242,82.449067
228,228,2022-09-28,83.325338,13.4509,0.199056,0.044523
229,229,2022-09-28,97.618943,0.042183,0.00147,1.116496
230,230,2022-10-03,34.605148,35.053366,0.9763250000000001,18.396586
231,231,2022-10-03,45.872796,4.966737,0.72258,48.032019
232,232,2022-10-08,81.294441,8.946662,0.681052,5.232885
233,233,2022-10-08,40.989974,3.805302,0.754984,53.841758
234,234,2022-10-13,98.532093,0.16044,0.001285,0.0
235,235,2022-10-13,95.058608,0.0,0.0,4.911702
236,236,2022-10-18,55.102026,23.754603,0.779003,10.15759
237,237,2022-10-18,57.485133,4.405881,0.540171,37.041691
238,238,2022-10-23,15.949579,57.025903,1.025589,17.854929
239,239,2022-10-23,19.66237,5.630805,0.930271,73.241109
240,240,2022-10-28,52.582133,41.681543,0.582008,1.281016
241,241,2022-10-28,58.05552,1.6699339999999998,0.216556,36.523154
242,242,2022-11-02,96.904677,0.0,0.0,1.98157
